activityId,date,apptNumber,recordType,status,activityType,workZone,timeSlot,slaWindowStart,slaWindowEnd,serviceWindowStart,serviceWindowEnd,timeOfBooking,duration,travelTime,longitude,latitude,startTime
702307,2019-11-04,1-QKU49KZ,regular,completed,SSTT,Talca,13_16,2019-10-30 00:00:00,2019-11-29 00:00:00,13:00:00,16:00:00,2019-10-30 14:48:26,40,9,-71.66284,-35.42162,2019-11-04 12:00:00
698174,2019-11-04,1-QEXF63J,regular,notdone,ALTR,Talca,10_13,2019-10-29 00:00:00,2019-11-30 00:00:00,10:00:00,13:00:00,2019-10-29 09:38:56,61,1,-71.60464,-35.43872,2019-11-04 10:07:00
704901,2019-11-04,1-QL79P4C,regular,completed,SSTT,Talca,13_16,2019-10-28 00:00:00,2019-11-27 00:00:00,13:00:00,16:00:00,2019-11-01 14:07:55,27,15,-71.67212,-35.44951,2019-11-04 13:00:00
705033,2019-11-04,1-QLGT5QL,regular,completed,SSTT,Talca,16_19,2019-10-30 00:00:00,2019-11-29 00:00:00,16:00:00,19:00:00,2019-11-01 15:38:59,62,10,-71.67578,-35.42958,2019-11-04 15:43:00
709741,2019-11-04,1-QODE2B1,regular,suspended,SSTT,Talca,16_19,2019-10-31 00:00:00,2019-11-30 00:00:00,16:00:00,19:00:00,2019-10-31 09:12:41,36,13,-71.66742,-35.42788,2019-11-04 14:46:00
707907,2019-11-04,,regular,completed,BOD,,09:00 a 09:30,,,09:00:00,09:30:00,2019-02-11 22:22:59,61,0,,,2019-11-04 08:39:00
707908,2019-11-04,,regular,completed,VIA,,En Ruta,,,09:30:00,10:00:00,2019-02-11 22:33:03,27,0,,,2019-11-04 09:40:00
707909,2019-11-04,,regular,completed,LU,,COL,,,13:00:00,14:00:00,2019-02-07 11:58:50,62,0,,,2019-11-04 13:43:00
707906,2019-11-04,,regular,cancelled,PET,,,,,,,2019-10-08 11:43:18,0,0,,,
704165,2019-11-04,1-QQHFY86,regular,completed,SSTT,Talca,10_13,2019-10-31 00:00:00,2019-11-30 00:00:00,10:00:00,13:00:00,2019-10-31 19:54:12,28,15,-71.6193,-35.43026,2019-11-04 11:23:00
703000,2019-11-04,1-QMBCPE9,regular,completed,SSTT,Talca,13_16,2019-10-30 00:00:00,2019-11-29 00:00:00,13:00:00,16:00:00,2019-10-30 22:26:23,9,9,-71.59667,-35.44016,2019-11-04 12:46:00
702509,2019-11-04,1-QL55BBY,regular,completed,SSTT,Talca,10_13,2019-10-30 00:00:00,2019-11-29 00:00:00,10:00:00,13:00:00,2019-10-30 16:17:39,44,15,-71.642,-35.39967,2019-11-04 10:07:00
706708,2019-11-04,1-QYL0XYS,regular,notdone,MDF,Talca,13_16,2019-10-25 00:00:00,2019-11-24 00:00:00,13:00:00,16:00:00,2019-11-02 16:18:56,15,5,-71.67666,-35.42758,2019-11-04 13:00:00
708721,2019-11-04,1-R889C8I,regular,completed,SSTT,Talca,10_13,2019-11-04 00:00:00,2019-12-04 00:00:00,10:00:00,13:00:00,2019-11-04 10:09:11,73,33,-71.66053,-35.43194,2019-11-04 11:24:00
707910,2019-11-04,,regular,completed,BOD,,09:00 a 09:30,,,09:00:00,09:30:00,2019-02-11 22:22:59,0,0,,,2019-11-04 08:25:00
707911,2019-11-04,,regular,completed,VIA,,En Ruta,,,09:30:00,10:00:00,2019-02-11 22:33:03,0,0,,,2019-11-04 08:26:00
707912,2019-11-04,,regular,completed,LU,,COL,,,13:00:00,14:00:00,2019-02-07 11:58:50,59,0,,,2019-11-04 15:03:00
703498,2019-11-04,1-QODE2B1,regular,completed,SSTT,Talca,16_19,2019-10-31 00:00:00,2019-11-30 00:00:00,16:00:00,19:00:00,2019-10-31 09:12:41,37,0,-71.66742,-35.42788,2019-11-04 16:02:00
706200,2019-11-04,1-QY9V203,regular,completed,SSTT,Talca,13_16,2019-11-02 00:00:00,2019-12-02 00:00:00,13:00:00,16:00:00,2019-11-02 12:24:05,62,14,-71.68109,-35.43462,2019-11-04 13:31:00
702360,2019-11-04,1-QKWJ0X9,regular,cancelled,SSTT,Talca,10_13,2019-10-30 00:00:00,2019-11-29 00:00:00,10:00:00,13:00:00,2019-10-30 15:11:59,0,0,-71.68287,-35.44796,
696803,2019-11-04,1-QBPPYCC,regular,cancelled,ALTR,Talca,13_16,2019-10-28 00:00:00,2019-11-27 00:00:00,13:00:00,16:00:00,2019-10-28 15:38:38,0,0,-71.67713,-35.44366,
